temperature,radius,mass,color,name
5332.0,1.01,0.97,Yellow,Star_128
5850.0,0.964,0.991,Yellow,Star_129
6373.72,1.74231,1.27,Yellow-White,Star_131
5050.0,1.278,1.17,Orange,Star_132
6169.0,1.117,1.098,Yellow-White,Star_133
5450.0,0.73,0.55,Yellow,Star_137
4595.0,0.694,0.756,Orange,Star_138
3050.0,0.141,0.12,Red,Star_139
3476.0,0.508,0.512,Red,Star_140
5023.0,0.776484,0.84,Orange,Star_142
3700.0,0.75,0.5,Red,Star_143
5340.0,0.97,0.946,Yellow,Star_146
5600.0,1.01,0.93,Yellow,Star_147
6107.0,1.317,1.168,Yellow-White,Star_148
6548.0,1.57323,1.354,Yellow-White,Star_149
5230.0,0.85,1.04,Yellow,Star_150
6034.0,1.22,0.86,Yellow-White,Star_151
5830.0,1.657,1.22,Yellow,Star_156
5537.0,1.65,1.1,Yellow,Star_157
5499.0,0.8521,0.9027,Yellow,Star_163
4922.0,0.751,0.79,Orange,Star_167
6157.0,1.33,1.08,Yellow-White,Star_171
4914.0,0.746,0.8048,Orange,Star_173
5638.0,1.34,1.076,Yellow,Star_174
5731.0,1.001,1.048,Yellow,Star_175
5835.0,1.86,1.212,Yellow,Star_180
6000.0,1.036,1.109,Yellow,Star_182
6027.0,1.962,1.318,Yellow-White,Star_183
5304.0,0.871,0.936,Yellow,Star_184
6019.0,1.387,1.17,Yellow-White,Star_189
5074.0,0.702,0.707,Orange,Star_190
4840.0,3.85,1.08,Orange,Star_191
5650.0,1.2,1.02,Yellow,Star_192
5306.0,0.886,0.954,Yellow,Star_193
5258.0,0.785,0.731,Yellow,Star_194
4591.0,0.709,0.696,Orange,Star_195
4974.0,3.52,1.36,Orange,Star_196
3841.0,0.607,0.627,Orange,Star_197
4988.0,0.674,0.768,Orange,Star_198
3212.0,0.189,0.165,Red,Star_200
5773.0,1.33,1.13,Yellow,Star_202
5870.0,1.1,1.02,Yellow,Star_205
6220.0,1.39,1.22,Yellow-White,Star_207
4294.0,0.579,0.593,Orange,Star_208
3793.0,0.568,0.587,Orange,Star_211
5623.44,0.886644,1.0,Yellow,Star_215
5514.0,0.978,1.003,Yellow,Star_219
6490.0,1.307,1.304,Yellow-White,Star_220
5085.0,1.08433,0.85,Orange,Star_223
6096.0,1.17092,1.14,Yellow-White,Star_224
5723.87,0.864173,1.02,Yellow,Star_225
6450.0,1.315,1.272,Yellow-White,Star_228
5968.0,1.1174,1.0251,Yellow,Star_229
3875.0,0.581,0.604,Orange,Star_233
3576.0,0.5,0.52,Red,Star_234
3709.0,0.469,0.471,Orange,Star_235
5597.0,0.9882,0.9245,Yellow,Star_236
4722.0,0.7231,0.7528,Orange,Star_237
5253.0,0.834,0.9,Yellow,Star_238
3449.0,0.468,0.32,Red,Star_239
5522.0,0.984,1.044,Yellow,Star_250
5870.0,1.038,0.986,Yellow,Star_251
5730.0,1.459,1.168,Yellow,Star_253
6362.0,1.378,1.199,Yellow-White,Star_254
5143.0,0.84,0.75,Orange,Star_257
5690.0,1.06,1.06,Yellow,Star_259
7295.0,1.48726,1.65,Yellow-White,Star_260
5568.0,1.004,0.904,Yellow,Star_261
3099.0,0.222,0.19,Red,Star_262
5529.0,0.937741,0.972,Yellow,Star_263
5500.0,0.94,0.96,Yellow,Star_264
5634.0,0.9169,0.9883,Yellow,Star_266
5610.0,1.392,1.003,Yellow,Star_267
5152.0,0.71,0.807,Orange,Star_268
3307.0,0.326,0.306,Red,Star_269
3842.0,0.604,0.614,Orange,Star_270
3914.0,0.53,0.55,Orange,Star_271
2520.0,0.1234,0.0898,Red,Star_272
5993.0,1.863,1.187,Yellow,Star_273
3540.0,0.862,0.635,Red,Star_274
3328.0,0.265,0.255,Red,Star_275
6010.0,1.046,1.111,Yellow-White,Star_276
4750.0,0.639,0.724,Orange,Star_277
4450.0,0.59,0.62,Orange,Star_278
5274.92,0.873266,0.9,Yellow,Star_280
4699.0,0.778,0.78,Orange,Star_281
5473.0,0.741,0.809,Yellow,Star_282
6084.0,1.984,1.407,Yellow-White,Star_283
5490.0,1.663,1.107,Yellow,Star_284
6150.0,1.64,1.21,Yellow-White,Star_287
5600.0,0.954,0.995,Yellow,Star_288
4929.0,0.719,0.758,Orange,Star_292
6146.0,1.264,1.204,Yellow-White,Star_293
5788.0,2.03,1.22,Yellow,Star_294
4836.0,2.949151,1.054213,Orange,Star_295
6041.0,1.332,1.24,Yellow-White,Star_296
6418.0,1.171,1.241,Yellow-White,Star_300
5705.0,0.99,1.0,Yellow,Star_301
3920.0,0.550856,0.546024,Orange,Star_303
6387.0,1.564,1.409,Yellow-White,Star_304
4255.0,0.651,0.659,Orange,Star_305
3769.0,0.56,0.59,Orange,Star_307
4906.0,0.75,0.81,Orange,Star_309
5040.0,0.756,0.806,Orange,Star_310
5044.0,0.84,0.89,Orange,Star_311
5777.0,1.09,1.04,Yellow,Star_312
5099.0,0.812,0.837,Orange,Star_313
6011.95,2.31084,1.11,Yellow-White,Star_314
6100.0,1.24,1.09,Yellow-White,Star_315
5859.0,0.98,1.06,Yellow,Star_316
5417.0,0.77,0.8,Yellow,Star_317
5542.0,1.664,1.076,Yellow,Star_318
6354.0,1.258,1.204,Yellow-White,Star_320
5650.0,0.876,0.993,Yellow,Star_321
5020.38,0.759106,0.814595,Orange,Star_322
6156.77,1.622479,1.294197,Yellow-White,Star_323
5234.0,0.943,0.905,Yellow,Star_324
6258.0,1.49,1.23,Yellow-White,Star_325
5131.0,0.893,0.887,Orange,Star_326
6258.0,1.074,1.157,Yellow-White,Star_327
5643.0,1.065,0.913,Yellow,Star_329
6096.0,3.82,23.56,Yellow-White,Star_330
5747.0,1.401,1.164,Yellow,Star_331
5839.0,0.965,1.04,Yellow,Star_332
5462.0,1.94053,0.95,Yellow,Star_333
6218.0,1.651,1.394,Yellow-White,Star_336
4546.0,0.7152,0.7279,Orange,Star_339
3415.0,0.303,0.273,Red,Star_340
3367.0,0.312,0.313,Red,Star_341
7394.0,1.926,1.648,Yellow-White,Star_343
4930.0,0.742,0.761,Orange,Star_346
6860.0,1.755,1.637,Yellow-White,Star_347
6432.0,1.3,1.155,Yellow-White,Star_349
5355.0,0.803,0.901,Yellow,Star_354
5640.0,1.06,1.12,Yellow,Star_356
6149.0,1.5092,1.167,Yellow-White,Star_357
5356.3,0.863,0.935,Yellow,Star_358
5779.0,0.956,1.034,Yellow,Star_359
5483.74,1.04426,0.96,Yellow,Star_360
3266.0,0.425,0.442,Red,Star_362
4716.0,0.69,0.688,Orange,Star_364
5679.0,1.086,1.056,Yellow,Star_366
3709.0,0.538,0.544,Orange,Star_367
5510.0,1.05,1.11,Yellow,Star_368
5080.0,0.75,0.788,Orange,Star_369
5846.0,1.091,1.131,Yellow,Star_370
5710.0,1.7,0.96,Yellow,Star_371
3690.0,0.515,0.513,Red,Star_373
5241.0,0.98,0.89,Yellow,Star_375
5888.0,1.233,1.039,Yellow,Star_376
5783.0,1.32425,1.04,Yellow,Star_377
6172.0,1.197,1.205,Yellow-White,Star_379
3586.0,0.52,0.54,Red,Star_380
6367.0,1.69,1.39,Yellow-White,Star_382
5570.0,0.918,0.968,Yellow,Star_383
4503.0,0.69,0.82,Orange,Star_384
5933.0,1.843,1.347,Yellow,Star_385
6210.0,1.248,1.212,Yellow-White,Star_386
6217.0,1.26867,1.2,Yellow-White,Star_388
6210.0,1.486,1.213,Yellow-White,Star_389
5503.0,0.862285,0.927528,Yellow,Star_390
6238.0,1.03,1.114,Yellow-White,Star_392
3905.0,0.654,0.629,Orange,Star_393
4257.0,0.602,0.589,Orange,Star_395
5866.0,0.999,1.022,Yellow,Star_396
6132.0,1.22,0.64,Yellow-White,Star_397
5477.0,0.977,0.915,Yellow,Star_398
5330.0,0.88,0.88,Yellow,Star_399
6308.0,1.444,1.171,Yellow-White,Star_400
6410.0,1.696,1.32,Yellow-White,Star_401
3185.0,0.319,0.318,Red,Star_406
5408.0,0.93,0.97,Yellow,Star_407
6626.0,1.841,1.411,Yellow-White,Star_408
5231.0,0.89254,0.89,Yellow,Star_410
5973.0,1.61,1.091,Yellow,Star_411
5688.0,0.912,0.99,Yellow,Star_412
5282.0,0.822,0.901,Yellow,Star_413
5814.0,1.67525,1.05,Yellow,Star_415
5667.0,1.02,1.06,Yellow,Star_416
5576.0,1.747,1.157,Yellow,Star_417
5700.0,0.895,1.02,Yellow,Star_418
5576.0,0.829,0.8,Yellow,Star_419
3512.0,0.59,0.58,Red,Star_420
3919.0,0.611,0.596,Orange,Star_421
3613.0,0.48,0.477,Red,Star_422
3522.0,0.458,0.455,Red,Star_423
5224.0,0.7511,0.7663,Yellow,Star_424
4969.0,0.893,0.88,Orange,Star_425
5903.0,1.02,1.06,Yellow,Star_427
5897.0,1.38188,1.07,Yellow,Star_428
6394.0,1.317,1.316,Yellow-White,Star_429
5920.0,1.75,1.19,Yellow,Star_430
5200.0,0.744,0.793,Orange,Star_433
5174.0,0.8,0.86,Orange,Star_436
6298.0,1.611,1.334,Yellow-White,Star_437
5392.0,0.853,0.814,Yellow,Star_440
6056.0,1.498,1.268,Yellow-White,Star_443
5365.0,0.719,0.735,Yellow,Star_444
5871.0,1.46198,1.06,Yellow,Star_445
5604.0,1.21,1.08,Yellow,Star_446
5200.0,0.81,0.81,Orange,Star_448
5185.0,0.799,0.917,Orange,Star_449
4882.0,0.738,0.718,Orange,Star_450
5836.0,1.38,1.07,Yellow,Star_451
5849.09,1.06358,1.056,Yellow,Star_454
6395.0,1.63,1.374,Yellow-White,Star_455
6100.0,2.46,1.87,Yellow-White,Star_456
6272.0,1.53,1.126,Yellow-White,Star_458
6380.0,1.31,1.41,Yellow-White,Star_459
5750.0,0.934,1.027,Yellow,Star_461
5150.0,0.825,0.84,Orange,Star_462
4875.0,0.805,0.846,Orange,Star_465
6200.0,1.846,1.404,Yellow-White,Star_466
6300.0,1.44,1.18,Yellow-White,Star_468
3194.0,0.333,0.342,Red,Star_469
5498.0,0.922,0.929,Yellow,Star_470
5820.0,1.474,1.066,Yellow,Star_471
3461.0,0.459,0.46,Red,Star_472
5722.0,0.992,1.077,Yellow,Star_473
6297.0,1.544,1.296,Yellow-White,Star_474
6148.0,1.828,1.308,Yellow-White,Star_475
6058.0,1.09,1.0,Yellow-White,Star_477
6140.0,1.09,1.07,Yellow-White,Star_479
5625.0,0.906,0.96,Yellow,Star_480
5674.0,0.82,0.929,Yellow,Star_482
5496.0,0.995,0.91,Yellow,Star_483
5585.0,1.25,1.1,Yellow,Star_484
6260.0,2.21,1.41,Yellow-White,Star_485
4728.0,0.745,0.815,Orange,Star_486
5271.0,0.873,0.939,Yellow,Star_488
4097.0,0.6,0.62,Orange,Star_489
6329.0,1.756,1.458,Yellow-White,Star_490
5487.0,0.94,0.94,Yellow,Star_491
5263.0,0.681111,0.730322,Yellow,Star_492
5977.0,1.006,1.1,Yellow,Star_493
2825.0,0.21887,0.188001,Red,Star_494
6145.0,1.289,1.196,Yellow-White,Star_496
5828.0,1.548,1.078,Yellow,Star_497
3865.0,0.6103,0.635,Orange,Star_498
5827.0,1.509,1.148,Yellow,Star_499
6354.0,1.34,1.26,Yellow-White,Star_502
5600.0,1.112,1.107,Yellow,Star_503
6124.0,1.254,1.156,Yellow-White,Star_504
5190.0,0.831,0.87,Orange,Star_505
5611.0,1.134,1.082,Yellow,Star_506
5481.0,0.708,0.806,Yellow,Star_507
4673.0,4.14,1.17,Orange,Star_508
5359.0,1.002,0.867,Yellow,Star_509
6179.0,1.5817,1.18,Yellow-White,Star_510
4115.0,0.614,0.6045,Orange,Star_511
5914.0,0.987,0.938,Yellow,Star_512
6015.0,1.185,1.108,Yellow-White,Star_515
6067.0,1.07,1.09,Yellow-White,Star_516
4634.0,0.7,0.73,Orange,Star_517
5559.0,1.412,0.974,Yellow,Star_518
5711.0,0.95,0.97,Yellow,Star_519
5052.0,0.816,0.773,Orange,Star_520
5825.26,1.27893,1.05,Yellow,Star_522
4423.0,0.722055,0.69,Orange,Star_524
4628.0,0.650925,0.73,Orange,Star_525
5329.0,1.04488,0.92,Yellow,Star_526
3750.0,0.51,0.54,Orange,Star_527
5757.0,1.11,1.037,Yellow,Star_529
5443.81,0.832288,0.95,Yellow,Star_530
4245.0,0.637,0.649,Orange,Star_531
5154.0,0.850048,0.87,Orange,Star_532
4948.0,0.792763,0.81,Orange,Star_533
6115.0,1.291,1.077,Yellow-White,Star_534
4995.0,4.06,1.32,Orange,Star_535
5007.0,0.728343,0.83,Orange,Star_536
6121.0,1.249,1.037,Yellow-White,Star_537
5870.0,0.89,1.0,Yellow,Star_538
4730.0,0.72,0.76,Orange,Star_539
5496.97,0.940506,0.96,Yellow,Star_540
5351.0,1.671,0.849,Yellow,Star_543
6291.71,1.33017,1.23,Yellow-White,Star_545
5321.0,0.86,0.91,Yellow,Star_546
5373.0,0.83,0.87,Yellow,Star_547
5007.0,0.748,0.806,Orange,Star_548
5120.0,0.847538,0.86,Orange,Star_549
5938.54,1.29015,1.08,Yellow,Star_550
5942.0,0.938,1.028,Yellow,Star_551
5851.0,1.03,1.01,Yellow,Star_553
4790.0,0.729,0.776,Orange,Star_555
5058.9,0.773028,0.84,Orange,Star_556
5594.0,1.037,1.067,Yellow,Star_557
5734.0,1.06251,1.02,Yellow,Star_558
5193.0,0.838226,0.88,Orange,Star_559
5568.0,0.98285,0.98,Yellow,Star_560
5924.0,1.35224,1.08,Yellow,Star_561
5679.0,0.794,0.886,Yellow,Star_562
5806.0,1.01,1.01,Yellow,Star_563
3672.0,0.554,0.583,Red,Star_564
6305.0,1.011,1.066,Yellow-White,Star_565
5570.0,1.06,0.859,Yellow,Star_566
4691.0,0.74,0.29,Orange,Star_568
5177.0,0.78,0.832,Orange,Star_569
4999.0,0.843,0.8,Orange,Star_570
4031.0,0.672976,0.63,Orange,Star_571
5894.0,0.99,0.97,Yellow,Star_572
5537.0,0.88,0.999,Yellow,Star_577
6060.0,0.953,1.036,Yellow-White,Star_578
5455.0,0.975,1.013,Yellow,Star_580
4621.0,0.682015,0.733,Orange,Star_581
5452.0,0.85,0.88,Yellow,Star_582
5745.0,0.95,0.94,Yellow,Star_583
5014.0,0.775191,0.83,Orange,Star_584
6169.0,1.27,1.269,Yellow-White,Star_585
5674.0,0.857,0.951,Yellow,Star_587
4222.0,0.548,0.577,Orange,Star_588
6954.0,1.64,1.41,Yellow-White,Star_589
6119.0,1.299,1.157,Yellow-White,Star_590
5166.0,0.79,0.77,Orange,Star_591
6244.0,1.009,1.069,Yellow-White,Star_593
6103.0,0.949,1.028,Yellow-White,Star_594
5633.52,0.956036,1.0,Yellow,Star_595
5639.0,0.980376,1.0,Yellow,Star_597
6022.0,0.97,1.03,Yellow-White,Star_599
5405.0,2.605,1.365,Yellow,Star_600
5871.0,1.43,1.057,Yellow,Star_601
5334.0,0.83,0.87,Yellow,Star_603
4977.0,1.94,0.916,Orange,Star_605
5103.0,0.787,0.823,Orange,Star_606
3807.22,0.501728,0.529834,Orange,Star_607
5835.0,0.847,0.935,Yellow,Star_608
5937.0,1.149,0.908,Yellow,Star_609
5526.0,0.8,0.905,Yellow,Star_610
5079.0,0.739,0.817,Orange,Star_612
5634.0,1.02,1.06,Yellow,Star_614
5174.0,1.75,0.914,Orange,Star_615
5682.0,0.94,0.94,Yellow,Star_616
4380.0,0.53,0.524,Orange,Star_617
5517.0,0.8,0.901,Yellow,Star_618
6300.0,1.126,1.082,Yellow-White,Star_619
5770.0,0.86,0.969,Yellow,Star_620
6103.0,0.97,1.068,Yellow-White,Star_621
5284.0,0.847142,0.91,Yellow,Star_622
6125.0,1.181,1.179,Yellow-White,Star_623
5714.0,1.11,0.98,Yellow,Star_624
4082.0,0.56,0.58,Orange,Star_625
5680.0,1.52015,1.01,Yellow,Star_626
5781.0,1.21,1.055,Yellow,Star_627
6187.46,1.48943,1.185,Yellow-White,Star_628
6024.0,1.25,1.03,Yellow-White,Star_630
4242.0,0.63,0.66,Orange,Star_632
6208.0,1.009,1.072,Yellow-White,Star_634
5402.0,0.863,0.95,Yellow,Star_635
4806.0,0.729,0.709,Orange,Star_636
6199.63,1.29885,1.19,Yellow-White,Star_637
5815.0,0.954,0.875,Yellow,Star_638
5838.0,1.134,1.26,Yellow,Star_639
5029.0,0.806594,0.84,Orange,Star_641
5774.14,0.867261,1.03,Yellow,Star_642
5681.0,0.889,0.995,Yellow,Star_643
5805.0,0.936,0.979,Yellow,Star_644
5679.0,0.85,0.94,Yellow,Star_645
5474.0,0.895233,0.96,Yellow,Star_646
5526.0,0.9,0.93,Yellow,Star_647
5654.0,1.51,1.02,Yellow,Star_649
5988.0,1.236,1.002,Yellow,Star_650
5081.0,0.799,0.86,Orange,Star_651
3900.0,0.537,0.559,Orange,Star_652
5870.68,1.03426,1.06,Yellow,Star_653
5652.0,0.93,0.95,Yellow,Star_654
5313.0,1.501,0.926,Yellow,Star_655
5250.0,0.96,0.884,Yellow,Star_656
3195.0,0.185,0.162,Red,Star_657
5080.0,0.793,0.792,Orange,Star_658
4986.0,0.833,0.793,Orange,Star_659
3400.0,0.266,0.267,Red,Star_661
4953.0,0.75,0.81,Orange,Star_662
5438.0,0.83,0.86,Yellow,Star_664
5214.0,0.8,0.779,Yellow,Star_665
6198.0,1.20744,1.19,Yellow-White,Star_666
6119.0,0.938,1.01,Yellow-White,Star_667
7216.0,2.043,1.462,Yellow-White,Star_668
5015.0,0.78265,0.83,Orange,Star_669
4400.0,0.588,0.695,Orange,Star_670
5614.0,0.827,0.908,Yellow,Star_671
5684.0,0.808,0.741,Yellow,Star_672
5481.48,0.918732,0.96,Yellow,Star_673
5251.0,0.817,0.926,Yellow,Star_674
6141.0,1.712,1.254,Yellow-White,Star_677
4903.0,1.15358,0.8,Orange,Star_678
5178.0,0.68,0.91,Orange,Star_679
5650.0,0.96,0.95,Yellow,Star_680
6120.0,2.0,1.251,Yellow-White,Star_681
6733.0,1.59,1.34,Yellow-White,Star_682
4405.22,0.612574,0.689,Orange,Star_683
5993.0,0.986,1.093,Yellow,Star_685
5718.0,1.48,0.936,Yellow,Star_686
4660.0,0.72,0.78,Orange,Star_687
5720.0,1.18024,1.02,Yellow,Star_688
5899.0,1.58,1.067,Yellow,Star_689
6122.0,1.21,1.13,Yellow-White,Star_690
5886.33,1.57556,1.067,Yellow,Star_691
6032.0,1.06,0.999,Yellow-White,Star_692
5697.0,0.84,0.948,Yellow,Star_693
6014.0,1.05,1.2,Yellow-White,Star_694
4500.0,0.646,0.71,Orange,Star_695
5090.0,0.792,0.827,Orange,Star_696
5381.0,0.76,0.865,Yellow,Star_699
4916.0,0.718,0.79,Orange,Star_700
6347.0,1.373,1.051,Yellow-White,Star_701
5739.0,0.928,0.966,Yellow,Star_702
5707.0,1.018,0.827,Yellow,Star_703
5637.0,0.943,0.813,Yellow,Star_704
6210.0,1.1,1.106,Yellow-White,Star_705
5451.0,0.897,0.938,Yellow,Star_707
5794.01,1.31417,1.04,Yellow,Star_708
6187.0,1.034,0.997,Yellow-White,Star_709
5554.0,0.978421,0.98,Yellow,Star_710
5029.0,0.93,0.847,Orange,Star_711
5628.0,0.92,0.94,Yellow,Star_712
5735.0,0.833,0.915,Yellow,Star_714
4858.0,0.685,0.7,Orange,Star_715
5528.0,0.83,0.86,Yellow,Star_716
6170.0,1.24,1.15,Yellow-White,Star_717
5914.0,1.83166,1.08,Yellow,Star_719
5160.01,0.782767,0.791263,Orange,Star_720
6461.0,1.131,1.162,Yellow-White,Star_721
5994.0,1.64194,1.1,Yellow,Star_722
5105.0,0.78,0.856,Orange,Star_723
5884.0,1.12,1.04,Yellow,Star_724
5800.0,1.30556,1.04,Yellow,Star_725
5822.0,0.851,0.915,Yellow,Star_726
6246.0,1.233,1.146,Yellow-White,Star_727
6178.0,1.021,1.088,Yellow-White,Star_728
5481.0,1.012,0.976,Yellow,Star_730
5632.0,0.83,0.931,Yellow,Star_731
6350.0,1.4,1.29,Yellow-White,Star_732
4069.0,50.3,1.8,Orange,Star_733
5734.0,0.949,0.966,Yellow,Star_734
5820.13,1.075139,1.014904,Yellow,Star_735
5782.0,0.92,0.947,Yellow,Star_736
4665.0,0.685,0.729,Orange,Star_737
5613.0,0.886966,0.99,Yellow,Star_739
5492.85,0.834193,0.96,Yellow,Star_740
5049.0,0.77,0.81,Orange,Star_741
6171.0,1.0,1.09,Yellow-White,Star_742
5388.0,0.85,0.89,Yellow,Star_744
4478.0,0.651,0.637,Orange,Star_745
3900.0,0.612,0.526,Orange,Star_746
5827.0,1.374,1.068,Yellow,Star_747
3888.0,0.609,0.522,Orange,Star_748
6131.0,1.86,1.34,Yellow-White,Star_749
3561.0,0.411,0.44,Red,Star_750
5352.0,0.809,0.84,Yellow,Star_751
5146.0,0.905,0.832,Orange,Star_752
6168.72,1.84201,1.18,Yellow-White,Star_753
5711.0,0.93,0.807,Yellow,Star_754
5490.0,0.839151,0.96,Yellow,Star_755
5599.0,0.882559,0.99,Yellow,Star_756
5038.0,5.69,1.57,Orange,Star_757
5641.0,0.831,0.908,Yellow,Star_758
5835.0,0.88,0.99,Yellow,Star_759
5346.0,0.952,0.835,Yellow,Star_760
5142.0,0.745,0.825,Orange,Star_761
6080.6,1.99793,1.14,Yellow-White,Star_762
5938.0,0.883,0.966,Yellow,Star_764
4799.55,0.711043,0.776,Orange,Star_765
4613.0,0.66402,0.731,Orange,Star_766
5882.0,1.12541,1.07,Yellow,Star_767
4141.0,0.602,0.63,Orange,Star_768
5507.0,0.9,0.93,Yellow,Star_769
4970.0,1.806,0.996,Orange,Star_770
5911.0,1.626,1.071,Yellow,Star_771
5545.71,1.19258,0.98,Yellow,Star_772
4097.0,0.63,0.65,Orange,Star_773
5419.0,0.829915,0.8857,Yellow,Star_774
6338.0,1.32895,1.25,Yellow-White,Star_776
4783.72,0.807611,0.77,Orange,Star_777
5435.0,0.965104,0.95,Yellow,Star_778
6198.0,1.048,0.969,Yellow-White,Star_779
5973.0,1.12,1.11,Yellow,Star_780
5817.0,1.05,1.01,Yellow,Star_781
5500.82,1.73675,0.96,Yellow,Star_782
4575.0,0.687686,0.72,Orange,Star_783
5459.1,0.894,0.966,Yellow,Star_785
3619.0,0.522369,0.519723,Red,Star_786
4866.0,7.3,1.81,Orange,Star_787
5823.0,1.013,1.027,Yellow,Star_788
5422.0,0.746,0.805,Yellow,Star_789
5004.0,0.73,0.731,Orange,Star_790
4337.0,0.697027,0.678,Orange,Star_791
4587.0,0.7,0.73,Orange,Star_793
4911.0,0.786,0.836,Orange,Star_795
3410.0,0.345,0.35,Red,Star_796
5885.0,0.9,1.0,Yellow,Star_797
5953.0,0.926,0.957,Yellow,Star_799
